Age,CGPA,Financial_Stress,Semester_Credit_Load,Mental_Status,Sleep_Schedule,Extracurricular,Therapy,Exercise,Gender_Female,Gender_Male,Course_Business,Course_Computer Science,Course_Engineering,Course_Law,Course_Medical,Course_Others
23.0,2.835,4,25,-1,-1,-1,-1,0,1,0,0,0,1,0,0,0
19.0,3.115,5,17,-1,-1,1,-1,1,1,0,0,0,0,1,0,0
22.0,2.56,2,16,-1,1,-1,-1,0,1,0,0,0,0,0,1,0
21.0,2.995,5,21,-1,0,1,-1,-1,1,0,0,0,1,0,0,0
24.0,3.415,2,23,0,-1,0,-1,0,0,1,0,0,0,1,0,0
23.0,3.365,0,19,1,0,0,1,0,0,1,0,0,1,0,0,0
21.0,2.805,5,15,0,-1,0,-1,1,0,1,0,1,0,0,0,0
22.0,3.35,3,28,-1,-1,-1,-1,-1,0,1,0,0,0,1,0,0
23.0,3.505,1,19,0,0,0,-1,0,0,1,0,0,0,0,1,0
18.0,3.465,0,27,0,-1,-1,-1,0,1,0,0,0,1,0,0,0
26.0,3.525,0,15,0,0,0,-1,0,1,0,0,1,0,0,0,0
19.0,2.975,1,25,0,-1,0,0,-1,1,0,0,0,1,0,0,0
22.0,3.005,0,29,-1,-1,0,-1,-1,1,0,0,0,1,0,0,0
19.0,2.9251143268308284,1,27,0,-1,0,-1,-1,1,0,0,1,0,0,0,0
25.0,2.9,5,24,0,0,0,0,0,0,1,0,1,0,0,0,0
21.0,2.975,2,21,-1,-1,-1,-1,-1,1,0,0,0,0,1,0,0
20.0,3.23,3,26,0,0,-1,-1,-1,0,1,0,0,0,1,0,0
22.0,2.435,4,25,-1,-1,-1,-1,-1,1,0,1,0,0,0,0,0
23.0,2.645,5,25,-1,1,1,-1,0,0,1,0,0,0,0,1,0
20.0,2.645,5,21,-1,0,0,1,-1,0,1,0,1,0,0,0,0
22.0,3.21,0,16,1,1,0,-1,-1,1,0,0,0,0,0,1,0
20.0,3.24,3,28,0,-1,0,-1,0,0,1,0,0,0,0,0,1
19.0,2.955,3,17,-1,-1,1,-1,0,0,1,0,0,0,0,1,0
19.0,2.81,1,28,0,-1,0,-1,0,1,0,0,1,0,0,0,0
22.0,2.395,4,17,-1,-1,1,-1,-1,0,1,0,0,0,0,1,0
18.0,2.835,3,25,0,1,0,-1,-1,0,1,0,0,0,0,1,0
22.0,2.575,2,29,-1,0,1,-1,0,1,0,0,0,0,1,0,0
21.0,3.475,3,25,0,0,1,-1,1,0,1,0,1,0,0,0,0
21.0,2.91,2,22,-1,1,0,-1,1,0,1,0,0,0,1,0,0
18.0,3.005,2,27,0,0,1,-1,-1,0,1,0,0,0,0,1,0
25.0,2.895,4,23,0,0,1,-1,-1,1,0,0,1,0,0,0,0
21.0,2.565,2,15,-1,1,-1,-1,1,0,1,0,0,1,0,0,0
18.0,3.145,5,23,-1,0,0,-1,-1,0,1,0,0,0,1,0,0
21.0,3.205,5,29,-1,-1,0,-1,1,1,0,1,0,0,0,0,0
19.0,2.585,1,27,-1,-1,0,-1,1,0,1,0,0,0,1,0,0
19.0,2.93,0,18,0,0,-1,-1,1,0,1,0,1,0,0,0,0
21.0,2.635,3,21,0,0,0,1,-1,1,0,0,0,1,0,0,0
24.0,3.045,3,15,1,1,0,0,-1,0,1,0,1,0,0,0,0
20.0,2.85,0,22,0,0,0,-1,-1,0,1,0,1,0,0,0,0
18.0,2.99,4,18,0,0,1,0,0,1,0,0,0,1,0,0,0
20.0,2.995,4,25,-1,-1,-1,0,-1,0,1,0,0,1,0,0,0
18.0,2.63,3,22,-1,-1,-1,0,1,1,0,0,1,0,0,0,0
20.0,3.125,4,27,0,-1,0,0,0,0,1,0,0,0,0,1,0
21.0,3.01,3,26,0,-1,0,1,1,1,0,0,0,1,0,0,0
23.0,2.9251143268308284,1,26,-1,-1,-1,-1,0,0,1,0,1,0,0,0,0
20.0,3.14,0,18,0,-1,0,-1,0,1,0,0,0,0,0,1,0
18.0,2.985,5,29,-1,0,-1,0,0,1,0,0,0,1,0,0,0
19.0,2.805,1,21,0,0,-1,-1,0,0,1,0,1,0,0,0,0
18.0,2.715,3,19,-1,-1,0,-1,-1,1,0,0,1,0,0,0,0
24.0,3.515,0,19,1,0,-1,-1,-1,0,1,0,1,0,0,0,0
21.0,3.035,2,27,0,-1,0,-1,1,0,1,0,0,0,0,0,1
22.0,3.04,0,26,0,0,0,0,0,1,0,0,1,0,0,0,0
20.0,3.105,0,25,0,1,0,-1,-1,0,1,0,0,0,0,1,0
20.0,2.9251143268308284,2,25,-1,1,0,1,-1,0,1,0,0,0,0,1,0
20.0,3.355,1,25,0,-1,1,-1,0,0,1,0,0,0,1,0,0
23.0,3.115,3,23,0,-1,0,0,0,0,1,0,0,0,1,0,0
20.0,2.85,4,16,-1,0,0,-1,0,0,1,0,0,1,0,0,0
24.0,2.89,5,18,-1,0,0,-1,0,1,0,0,0,0,0,1,0
22.0,2.7,3,22,-1,-1,1,-1,1,1,0,0,0,0,1,0,0
18.0,2.82,2,28,1,1,0,1,-1,0,1,0,1,0,0,0,0
18.0,2.655,1,23,-1,-1,0,-1,-1,1,0,0,0,0,1,0,0
22.0,3.105,0,15,1,0,-1,0,-1,1,0,0,0,0,1,0,0
24.0,3.01,5,28,-1,-1,-1,1,1,1,0,1,0,0,0,0,0
23.0,2.875,3,25,0,0,0,-1,-1,1,0,0,0,0,1,0,0
22.0,2.71,2,22,-1,-1,0,-1,0,1,0,0,0,0,0,1,0
19.0,2.46,1,16,0,0,1,-1,0,1,0,0,0,0,0,0,1
23.0,2.8,5,22,1,0,-1,-1,-1,1,0,0,0,0,0,1,0
24.0,3.13,3,24,-1,0,1,-1,0,0,1,0,0,0,1,0,0
23.0,2.48,4,18,-1,-1,0,1,1,0,1,0,0,0,0,1,0
20.0,3.02,1,24,-1,-1,0,-1,-1,1,0,0,0,0,0,1,0
26.0,2.93,1,28,-1,0,-1,-1,-1,0,1,0,0,0,0,1,0
20.0,3.385,0,21,0,-1,0,-1,-1,0,1,0,0,0,0,1,0
19.0,2.9251143268308284,2,22,0,0,-1,0,-1,0,1,0,0,0,1,0,0
25.0,2.665,3,25,-1,-1,-1,-1,-1,0,1,0,0,0,0,1,0
20.0,2.775,1,19,-1,1,1,-1,-1,1,0,1,0,0,0,0,0
21.0,2.74,5,22,-1,-1,0,-1,0,0,1,0,0,0,0,0,1
20.0,2.925,2,15,-1,1,-1,-1,1,1,0,0,0,0,0,1,0
23.0,2.535,5,15,-1,0,0,-1,1,1,0,0,0,0,0,1,0
19.0,2.915,0,27,0,-1,0,-1,0,1,0,0,1,0,0,0,0
18.0,2.49,5,20,-1,-1,0,-1,1,0,1,0,0,1,0,0,0
20.0,2.9251143268308284,4,21,-1,0,-1,-1,-1,0,1,0,0,0,0,1,0
21.0,3.045,0,23,1,1,0,-1,1,0,1,0,1,0,0,0,0
22.0,2.905,3,21,-1,-1,1,-1,0,0,1,0,0,0,0,1,0
22.0,3.205,0,21,0,0,-1,-1,-1,1,0,0,0,0,0,1,0
24.0,2.99,0,26,1,0,0,0,-1,1,0,0,0,1,0,0,0
20.0,2.58,2,24,-1,0,-1,0,-1,1,0,0,0,0,0,1,0
21.0,3.245,1,23,1,0,-1,-1,1,1,0,0,0,0,0,1,0
20.0,3.135,0,27,0,-1,1,-1,-1,0,1,0,1,0,0,0,0
19.0,2.92,0,28,-1,-1,0,-1,-1,1,0,0,1,0,0,0,0
28.0,2.58,5,24,1,0,0,0,0,0,1,1,0,0,0,0,0
20.0,2.83,1,28,0,1,0,-1,-1,1,0,0,0,0,0,1,0
24.0,3.21,0,16,0,1,-1,-1,0,0,1,0,0,0,0,1,0
19.0,2.81,1,24,-1,0,0,0,1,0,1,0,0,0,1,0,0
24.0,3.185,3,21,-1,0,1,-1,-1,0,1,0,0,0,1,0,0
18.0,2.455,1,21,-1,-1,-1,-1,0,0,1,0,1,0,0,0,0
21.0,2.625,3,17,-1,-1,1,-1,0,0,1,0,1,0,0,0,0
22.0,2.465,0,29,-1,1,0,-1,-1,1,0,0,0,0,1,0,0
19.0,2.605,3,15,-1,-1,0,-1,0,0,1,0,0,0,0,1,0
22.0,2.31,4,20,-1,0,1,0,-1,0,1,0,0,0,1,0,0
22.0,2.975,4,19,0,0,-1,-1,0,0,1,0,0,0,1,0,0
22.0,2.96,4,18,-1,-1,0,-1,0,1,0,0,0,1,0,0,0
21.0,2.88,4,24,-1,0,-1,1,-1,1,0,0,0,1,0,0,0
23.0,3.355,4,25,0,0,0,1,0,0,1,0,0,0,1,0,0
20.0,3.445,4,15,1,0,0,-1,0,0,1,0,0,0,1,0,0
22.0,3.03,4,24,-1,-1,0,-1,0,0,1,0,0,1,0,0,0
20.0,2.69,5,24,-1,-1,0,1,1,0,1,0,0,1,0,0,0
19.0,2.685,3,21,0,1,-1,1,0,0,1,0,0,1,0,0,0
23.0,3.56,0,28,0,0,1,-1,1,0,1,0,1,0,0,0,0
25.0,2.585,4,23,-1,0,0,-1,0,0,1,0,1,0,0,0,0
22.0,2.745,4,21,-1,0,0,-1,0,1,0,0,0,1,0,0,0
22.0,2.985,2,27,-1,0,0,-1,-1,0,1,0,0,1,0,0,0
21.0,2.5,4,18,-1,-1,0,-1,0,0,1,0,1,0,0,0,0
19.0,3.395,3,27,0,0,0,-1,1,0,1,0,1,0,0,0,0
18.0,2.305,2,29,-1,0,0,-1,-1,0,1,0,0,1,0,0,0
20.0,3.155,1,27,0,1,0,-1,0,0,1,0,0,0,1,0,0
20.0,2.69,3,22,-1,-1,0,0,1,1,0,0,0,0,0,1,0
19.0,3.15,1,22,-1,0,0,0,1,0,1,0,0,0,0,1,0
21.0,3.325,4,23,1,0,0,0,1,1,0,0,0,0,1,0,0
21.0,3.265,4,15,-1,1,0,-1,0,0,1,0,1,0,0,0,0
21.0,2.65,3,24,-1,-1,0,-1,0,1,0,0,0,0,1,0,0
19.0,2.59,4,16,-1,0,0,-1,-1,1,0,0,0,0,0,0,1
18.0,3.385,1,19,-1,-1,0,-1,-1,0,1,0,0,0,0,1,0
21.0,2.9251143268308284,3,22,-1,1,-1,-1,-1,0,1,0,0,0,1,0,0
18.0,2.825,3,23,-1,0,-1,-1,0,1,0,0,0,0,1,0,0
18.0,2.94,5,16,0,1,0,-1,0,0,1,0,0,0,1,0,0
22.0,3.24,0,28,1,1,-1,-1,0,1,0,0,0,1,0,0,0
20.0,2.835,0,23,0,0,-1,-1,-1,1,0,0,0,0,1,0,0
19.0,2.83,5,16,-1,-1,0,-1,0,1,0,1,0,0,0,0,0
20.0,3.29,4,18,1,0,-1,-1,1,1,0,0,0,1,0,0,0
21.0,3.23,2,16,0,0,1,-1,-1,0,1,0,0,0,0,1,0
18.0,2.885,5,17,1,-1,0,1,-1,1,0,0,0,0,0,1,0
19.0,2.875,4,15,0,0,-1,-1,-1,0,1,0,0,1,0,0,0
20.0,2.65,0,28,0,-1,0,-1,0,1,0,0,0,1,0,0,0
25.0,3.195,0,17,0,1,0,0,-1,0,1,0,0,0,1,0,0
21.0,3.09,1,20,1,1,-1,-1,-1,0,1,0,0,0,0,1,0
19.0,3.175,1,25,0,1,-1,-1,0,1,0,0,0,1,0,0,0
18.0,3.145,0,17,0,-1,1,0,-1,0,1,0,0,0,0,1,0
20.0,2.795,5,17,-1,0,0,-1,0,1,0,0,0,1,0,0,0
26.0,2.42,3,16,-1,0,0,-1,0,0,1,0,0,1,0,0,0
28.0,2.685,5,25,-1,1,-1,-1,-1,1,0,0,0,0,0,0,1
21.0,3.29,5,26,0,1,0,0,0,0,1,0,0,1,0,0,0
21.0,2.835,5,17,-1,0,0,-1,-1,0,1,0,0,0,0,0,1
21.0,2.895,0,23,0,0,1,-1,1,1,0,0,0,0,0,1,0
23.0,2.93,3,26,0,0,0,-1,0,1,0,0,0,0,0,1,0
23.0,3.085,3,21,0,0,0,-1,0,1,0,1,0,0,0,0,0
18.0,2.545,5,15,-1,1,1,-1,-1,1,0,0,0,0,0,1,0
23.0,2.89,1,20,1,1,-1,1,1,0,1,0,0,0,1,0,0
20.0,2.79,0,24,-1,-1,-1,-1,0,1,0,0,0,0,0,1,0
21.0,2.74,5,26,-1,-1,-1,1,0,1,0,0,0,0,0,1,0
18.0,2.88,5,18,-1,-1,1,-1,-1,0,1,0,0,0,0,0,1
20.0,3.075,0,19,-1,1,0,1,-1,1,0,0,0,0,0,1,0
23.0,2.825,2,19,-1,-1,0,-1,-1,0,1,0,0,0,0,1,0
18.0,2.535,4,27,-1,-1,1,0,-1,1,0,0,0,1,0,0,0
22.0,2.81,5,24,-1,0,0,-1,1,0,1,0,0,0,0,1,0
18.0,3.28,3,24,-1,1,0,-1,0,1,0,0,0,0,0,0,1
21.0,2.98,3,26,-1,0,0,-1,0,0,1,0,0,0,1,0,0
19.0,2.9251143268308284,2,21,0,0,-1,0,0,0,1,0,1,0,0,0,0
19.0,3.28,1,20,0,1,0,-1,0,1,0,0,0,1,0,0,0
20.0,2.29,5,26,-1,0,-1,0,0,0,1,0,0,1,0,0,0
24.0,2.205,5,25,0,0,1,-1,0,0,1,0,0,0,0,1,0
18.0,2.365,3,17,-1,-1,-1,-1,0,1,0,0,0,0,1,0,0
24.0,3.06,3,28,0,-1,1,-1,1,0,1,0,1,0,0,0,0
25.0,3.245,2,19,1,0,0,0,1,1,0,0,0,0,0,0,1
18.0,2.525,5,19,-1,0,0,0,1,1,0,0,0,0,0,1,0
25.0,2.9251143268308284,5,16,-1,1,1,-1,-1,1,0,0,0,0,0,1,0
18.0,2.44,3,28,-1,0,-1,-1,0,0,1,1,0,0,0,0,0
20.0,2.915,4,19,-1,-1,0,-1,1,1,0,0,0,1,0,0,0
18.0,2.895,5,21,-1,0,-1,-1,-1,1,0,0,1,0,0,0,0
22.0,2.9251143268308284,1,18,0,0,0,-1,-1,1,0,0,0,1,0,0,0
18.0,3.54,5,16,0,0,0,-1,-1,0,1,0,0,0,1,0,0
19.0,2.68,1,16,0,0,0,1,0,1,0,0,0,0,0,1,0
19.0,3.03,1,16,0,0,-1,1,-1,0,1,0,0,0,0,1,0
25.0,2.9251143268308284,5,18,-1,1,0,-1,1,0,1,0,1,0,0,0,0
18.0,3.18,2,24,0,0,-1,-1,0,1,0,0,0,0,0,1,0
20.0,2.9251143268308284,1,18,1,1,-1,0,0,1,0,0,0,0,1,0,0
24.0,3.055,2,21,-1,0,0,-1,-1,0,1,0,0,0,0,0,1
19.0,3.025,5,17,0,1,-1,1,-1,1,0,0,0,1,0,0,0
26.0,3.21,5,26,-1,0,0,-1,-1,1,0,0,1,0,0,0,0
20.0,2.575,3,29,-1,1,0,-1,1,0,1,0,1,0,0,0,0
21.0,3.49,4,24,1,-1,0,0,0,1,0,0,0,0,1,0,0
20.0,2.505,4,17,-1,0,-1,-1,-1,1,0,0,0,0,1,0,0
18.0,2.845,0,15,0,0,1,-1,1,0,1,0,0,0,0,1,0
22.0,3.445,0,17,1,1,-1,-1,0,0,1,0,0,0,0,1,0
18.0,2.195,4,25,-1,-1,0,-1,-1,0,1,0,0,1,0,0,0
22.0,2.985,0,21,-1,0,0,-1,1,0,1,0,0,1,0,0,0
22.0,2.39,5,18,-1,-1,-1,-1,0,1,0,1,0,0,0,0,0
20.0,3.175,3,15,-1,-1,1,-1,-1,1,0,0,0,0,0,1,0
19.0,2.915,5,19,-1,1,1,-1,-1,1,0,0,0,0,0,1,0
20.0,2.815,3,29,0,1,0,0,1,0,1,0,0,0,0,1,0
26.0,3.01,1,20,-1,0,0,-1,0,0,1,0,0,0,0,1,0
20.0,2.82,0,16,-1,1,1,-1,0,0,1,0,0,1,0,0,0
22.0,3.165,2,21,1,-1,-1,1,-1,0,1,0,1,0,0,0,0
22.0,2.42,0,20,0,0,1,-1,0,0,1,0,0,0,0,0,1
20.0,3.405,2,27,0,0,-1,0,1,1,0,0,0,0,0,1,0
21.0,2.84,4,20,-1,-1,1,-1,0,0,1,0,0,0,0,1,0
23.0,2.595,4,17,0,-1,-1,0,-1,0,1,0,0,1,0,0,0
23.0,3.25,0,18,0,0,-1,-1,-1,1,0,0,0,0,1,0,0
22.0,3.635,2,23,1,-1,0,0,-1,1,0,0,0,0,0,1,0
21.0,2.755,5,23,-1,1,0,-1,-1,1,0,0,0,0,1,0,0
22.0,2.595,5,25,-1,0,-1,-1,-1,0,1,0,0,0,1,0,0
18.0,2.8,5,18,-1,1,1,-1,-1,0,1,0,0,1,0,0,0
19.0,2.42,1,28,-1,-1,0,-1,0,1,0,0,0,0,1,0,0
19.0,2.605,2,27,-1,-1,-1,0,-1,0,1,0,0,0,1,0,0
20.0,2.655,4,27,-1,0,-1,1,0,0,1,0,0,1,0,0,0
20.0,2.57,2,26,0,-1,-1,0,-1,1,0,0,0,0,0,1,0
21.0,2.765,5,27,0,0,0,-1,-1,0,1,0,0,0,1,0,0
23.0,3.265,1,17,0,0,0,1,0,0,1,0,0,0,0,1,0
22.0,3.035,4,15,0,1,-1,-1,1,0,1,0,0,0,0,1,0
21.0,3.035,1,19,0,-1,1,1,-1,0,1,0,0,1,0,0,0
24.0,2.395,1,15,-1,1,-1,-1,0,0,1,0,1,0,0,0,0
18.0,2.955,4,15,0,0,-1,-1,0,0,1,0,0,0,1,0,0
21.0,2.56,4,26,-1,0,1,-1,1,0,1,0,1,0,0,0,0
23.0,3.655,1,21,1,1,0,-1,0,1,0,0,1,0,0,0,0
21.0,2.645,2,15,-1,-1,1,-1,0,1,0,0,0,0,0,0,1
24.0,2.63,3,20,1,1,-1,0,0,1,0,0,1,0,0,0,0
21.0,2.505,3,23,-1,0,0,-1,-1,0,1,0,1,0,0,0,0
21.0,3.305,3,21,0,0,0,-1,-1,1,0,0,0,0,0,1,0
21.0,3.13,2,18,1,-1,0,0,0,1,0,0,0,0,1,0,0
21.0,3.455,3,25,0,0,0,-1,0,0,1,0,0,0,1,0,0
22.0,2.76,1,28,-1,1,1,1,-1,0,1,0,0,0,0,1,0
26.0,2.925,4,23,0,0,-1,-1,-1,1,0,0,0,0,0,1,0
19.0,2.775,2,21,0,-1,1,1,-1,0,1,0,0,0,1,0,0
23.0,3.375,4,15,0,0,0,1,-1,1,0,0,0,1,0,0,0
24.0,2.945,3,19,-1,1,1,-1,-1,0,1,0,0,0,1,0,0
24.0,3.31,0,20,0,1,1,-1,1,1,0,0,0,0,1,0,0
19.0,2.9251143268308284,2,29,0,1,0,1,0,1,0,0,0,1,0,0,0
23.0,2.935,4,19,-1,1,0,-1,0,1,0,0,0,0,1,0,0
21.0,2.815,2,23,0,0,-1,0,0,0,1,0,0,0,0,1,0
19.0,2.795,3,21,-1,0,-1,-1,1,1,0,0,0,0,1,0,0
21.0,2.56,4,16,-1,0,0,-1,1,1,0,0,0,0,1,0,0
23.0,2.6,3,26,-1,0,-1,-1,0,1,0,0,0,0,0,1,0
21.0,2.39,5,18,-1,0,0,-1,-1,1,0,0,0,0,0,1,0
21.0,2.61,1,18,-1,1,1,-1,0,1,0,0,0,1,0,0,0
28.0,2.625,4,29,-1,-1,-1,-1,0,0,1,0,0,0,0,1,0
21.0,3.095,2,25,-1,-1,0,-1,0,1,0,0,0,0,0,0,1
19.0,2.99,5,22,-1,0,0,-1,-1,1,0,0,0,0,0,1,0
24.0,2.87,0,28,-1,-1,0,-1,1,0,1,0,0,1,0,0,0
22.0,3.35,2,20,0,0,0,1,0,0,1,0,0,1,0,0,0
25.0,2.86,2,18,-1,0,0,-1,0,0,1,0,0,1,0,0,0
21.0,2.99,0,24,-1,-1,-1,-1,1,1,0,0,0,0,1,0,0
23.0,3.155,5,17,-1,0,-1,1,0,1,0,0,0,0,0,0,1
23.0,3.08,2,18,-1,0,0,-1,-1,0,1,0,1,0,0,0,0
18.0,2.48,1,18,-1,-1,-1,1,1,0,1,0,0,1,0,0,0
19.0,2.16,0,28,-1,0,1,-1,1,0,1,0,1,0,0,0,0
19.0,3.385,2,27,0,0,-1,-1,0,1,0,0,1,0,0,0,0
27.0,3.035,3,19,-1,0,0,-1,0,1,0,0,0,0,0,0,1
18.0,3.04,0,18,0,-1,0,-1,1,0,1,0,0,0,0,1,0
23.0,2.86,4,22,-1,1,-1,-1,1,1,0,0,0,1,0,0,0
20.0,2.57,4,28,-1,0,1,-1,1,0,1,0,1,0,0,0,0
20.0,2.22,1,18,-1,-1,-1,-1,0,1,0,0,0,0,0,1,0
20.0,2.645,3,25,0,-1,0,-1,-1,1,0,0,0,0,0,1,0
19.0,2.825,0,17,0,-1,1,-1,0,0,1,0,1,0,0,0,0
19.0,3.235,4,15,0,-1,0,-1,0,0,1,0,0,0,1,0,0
20.0,3.22,5,20,0,-1,0,-1,0,0,1,0,0,0,0,1,0
19.0,3.02,1,24,-1,-1,-1,-1,1,1,0,0,0,0,0,1,0
19.0,2.62,5,26,-1,1,-1,-1,-1,1,0,0,0,0,0,1,0
28.0,2.595,3,23,-1,1,0,0,0,1,0,1,0,0,0,0,0
19.0,3.435,1,27,0,-1,0,-1,0,0,1,0,1,0,0,0,0
27.0,2.74,3,20,-1,-1,-1,-1,1,1,0,1,0,0,0,0,0
19.0,3.375,0,29,0,1,0,-1,1,1,0,0,0,0,0,1,0
21.0,2.795,4,27,-1,-1,0,-1,1,1,0,0,0,1,0,0,0
18.0,2.9251143268308284,0,18,0,-1,-1,0,0,0,1,0,0,0,0,1,0
20.0,2.625,3,15,-1,0,-1,-1,1,0,1,0,1,0,0,0,0
20.0,3.515,4,27,1,0,0,0,1,0,1,0,0,0,1,0,0
22.0,3.165,3,17,0,0,-1,-1,-1,1,0,0,0,0,0,1,0
21.0,2.795,2,23,-1,0,0,-1,-1,1,0,0,0,0,0,1,0
21.0,2.46,5,16,1,0,-1,-1,-1,1,0,1,0,0,0,0,0
23.0,3.095,0,23,0,-1,0,0,-1,0,1,0,1,0,0,0,0
21.0,2.675,2,19,0,-1,0,-1,0,0,1,0,1,0,0,0,0
24.0,3.22,0,18,0,1,0,-1,1,1,0,0,0,0,1,0,0
22.0,3.115,2,21,0,-1,0,1,0,0,1,0,0,0,0,1,0
22.0,3.125,3,19,0,1,1,-1,0,1,0,1,0,0,0,0,0
24.0,3.36,0,18,0,0,-1,-1,-1,0,1,1,0,0,0,0,0
20.0,2.83,3,16,0,0,-1,0,-1,0,1,0,1,0,0,0,0
20.0,2.88,0,18,0,-1,-1,-1,0,1,0,0,0,1,0,0,0
20.0,2.295,0,27,0,0,1,-1,0,0,1,0,0,0,1,0,0
21.0,3.285,1,17,-1,0,0,-1,-1,1,0,0,0,0,1,0,0
22.0,2.3,5,20,-1,-1,0,-1,0,1,0,0,0,0,1,0,0
20.0,2.375,0,27,0,-1,0,1,-1,0,1,0,0,0,0,1,0
24.0,3.045,3,21,-1,0,0,-1,1,0,1,0,1,0,0,0,0
24.0,2.81,3,28,0,-1,0,1,-1,1,0,0,0,0,0,1,0
21.0,2.835,2,29,-1,1,1,-1,0,1,0,0,1,0,0,0,0
21.0,3.035,1,23,-1,1,0,-1,1,0,1,0,0,1,0,0,0
20.0,3.025,2,17,0,-1,0,-1,1,0,1,0,0,0,1,0,0
19.0,2.815,0,17,1,0,0,1,-1,0,1,0,0,0,1,0,0
21.0,3.14,3,22,0,-1,0,-1,-1,0,1,0,1,0,0,0,0
21.0,2.895,0,15,-1,0,1,-1,1,1,0,0,0,0,0,1,0
18.0,2.37,5,22,-1,0,-1,-1,-1,0,1,0,1,0,0,0,0
20.0,2.755,5,29,0,-1,0,-1,-1,1,0,0,0,0,1,0,0
20.0,2.9251143268308284,0,25,0,0,-1,-1,-1,0,1,0,0,0,0,1,0
24.0,2.82,5,16,0,0,1,1,-1,0,1,0,0,1,0,0,0
20.0,2.735,4,23,-1,0,0,-1,1,0,1,1,0,0,0,0,0
18.0,2.825,1,25,0,0,-1,1,0,0,1,0,0,0,1,0,0
18.0,2.415,4,17,-1,-1,1,-1,0,1,0,0,0,0,0,0,1
